canonical_key,full_name,position,nfl_team,confidence,notes
jordan-love-qb,Jordan Love,QB,GB,high,Extended through 2028 with Packers
malik-willis-qb,Malik Willis,QB,GB,medium,Backup QB; was cut by TEN; signed with GB
sam-darnold-qb,Sam Darnold,QB,MIN,medium,Starter for Vikings 2024; may have moved for 2026
cam-ward-qb,Cam Ward,QB,TEN,high,2025 NFL Draft #1 overall pick by Titans
daniel-jones-qb,Daniel Jones,QB,CLE,low,Cut by NYG Nov 2024; unclear 2026 destination
fernando-mendoza-qb,Fernando Mendoza,QB,LAR,low,2024 UDFA with Rams; practice squad/backup
jacoby-brissett-qb,Jacoby Brissett,QB,WAS,medium,Veteran backup; was with WAS
kenneth-walker-iii-rb,Kenneth Walker III,RB,SEA,high,Seattle Seahawks starter since 2022
travis-etienne-jr-rb,Travis Etienne Jr.,RB,JAX,high,Jacksonville Jaguars starter since 2022
jonathan-brooks-rb,Jonathan Brooks,RB,CAR,high,2024 first-round pick by Carolina Panthers
chris-rodriguez-rb,Chris Rodriguez,RB,WAS,medium,Washington Commanders
oronde-gadsden-ii-te,Oronde Gadsden II,TE,JAX,medium,UDFA 2023; Jacksonville Jaguars
mark-andrews-te,Mark Andrews,TE,BAL,high,Baltimore Ravens franchise TE; long-term contract
juwan-johnson-te,Juwan Johnson,TE,NO,high,New Orleans Saints
chigoziem-okonkwo-te,Chigoziem Okonkwo,TE,TEN,high,Tennessee Titans starter TE
kenyon-sadiq-te,Kenyon Sadiq,TE,LV,medium,Las Vegas Raiders
dalton-schultz-te,Dalton Schultz,TE,HOU,high,Houston Texans; signed multi-year deal
t-j-hockenson-te,T.J. Hockenson,TE,MIN,high,Minnesota Vikings; returning from ACL injury
aj-barner-te,AJ Barner,TE,IND,medium,Indianapolis Colts 2025 draft pick
d-j-moore-wr,D.J. Moore,WR,CHI,high,Chicago Bears; traded from CAR pre-2023
